,dissatisfied,satisfied,accuracy,macro avg,weighted avg
precision,0.9299061161243277,0.9380434782608695,0.9343004486185066,0.9339747971925987,0.934290554546897
recall,0.9274545454545454,0.9401602988094312,0.9343004486185066,0.9338074221319883,0.9343004486185066
f1-score,0.9286787128487551,0.9391006956589328,0.9343004486185066,0.933889704253844,0.9342941126682005
support,11000.0,12851.0,0.9343004486185066,23851.0,23851.0
